Song Name,Artist Name,Release Date,Genres,Tracks,Popularity,Album Name,Album Type,Song Duration (ms)
Roar,Katy Perry,2013-01-01,pop,"Roar, Legendary Lovers, Birthday, Walking On Air, Unconditionally, Dark Horse, This Is How We Do, International Smile, Ghost, Love Me, This Moment, Double Rainbow, By The Grace Of God",77,PRISM,album,223546
I Kissed A Girl,Katy Perry,2008-06-17,pop,"One Of The Boys, I Kissed A Girl, Waking Up In Vegas, Thinking Of You, Mannequin, Ur So Gay, Hot N Cold, If You Can Afford Me, Lost, Self Inflicted, I'm Still Breathing, Fingerprints",69,One Of The Boys,album,179640
Want to Want Me,Jason Derulo,2015-06-01,"dance pop, pop","Want to Want Me, Cheyenne, Get Ugly, Pull-Up, Love like That (feat. K. Michelle), Painkiller (feat. Meghan Trainor), Broke (feat. Stevie Wonder and Keith Urban), Try Me (feat. Jennifer Lopez & Matoma), Love Me Down, Trade Hearts (feat. Julia Michaels), X2CU",45,Everything Is 4,album,207719
Whatcha Say,Jason Derulo,2010-02-26,"dance pop, pop","Whatcha Say, Ridin' Solo, In My Head, The Sky's the Limit, What If, Love Hangover, Encore, Fallen, Blind, Strobelight",71,Jason Derulo (International),album,221253
Talk Dirty (feat. 2 Chainz),Jason Derulo,2013-09-10,"dance pop, pop","The Other Side, Talk Dirty (feat. 2 Chainz), Marry Me, Tattoo, Trumpets, Vertigo (feat. Jordin Sparks), Fire (feat. Pitbull), Side FX (feat. The Game), Stupid Love, With the Lights On, Rest of Our Life",70,Tattoos,album,177685
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2024-02-16,"dance pop, pop","Nu King, Spicy Margarita, Mad Love, U + I, Lie To Me, Favorite Song, POV, Last Night, Take You Dancing, Don't Go Nowhere, Proximity, Limbo, Jalebi Baby, Comatose, Slow Low, Swalla (feat. Nicki Minaj & Ty Dolla $ign), Tip Toe (feat. French Montana), Lifestyle (feat. Adam Levine), When Love Sucks (feat. Dido), Save The Last Dance",64,Nu King,album,216408
Savage Love (Laxed - Siren Beat),Jason Derulo,2020-06-11,"dance pop, pop",Savage Love (Laxed - Siren Beat),72,Savage Love (Laxed - Siren Beat),single,171374
Acapulco,Jason Derulo,2024-02-16,"dance pop, pop","Nu King, Spicy Margarita, Mad Love, U + I, Lie To Me, Favorite Song, POV, Last Night, Take You Dancing, Don't Go Nowhere, Proximity, Limbo, Jalebi Baby, Comatose, Slow Low, Swalla (feat. Nicki Minaj & Ty Dolla $ign), Tip Toe (feat. French Montana), Lifestyle (feat. Adam Levine), When Love Sucks (feat. Dido), Save The Last Dance",65,Nu King,album,139672
Take You Dancing,Jason Derulo,2024-02-16,"dance pop, pop","Nu King, Spicy Margarita, Mad Love, U + I, Lie To Me, Favorite Song, POV, Last Night, Take You Dancing, Don't Go Nowhere, Proximity, Limbo, Jalebi Baby, Comatose, Slow Low, Swalla (feat. Nicki Minaj & Ty Dolla $ign), Tip Toe (feat. French Montana), Lifestyle (feat. Adam Levine), When Love Sucks (feat. Dido), Save The Last Dance",62,Nu King,album,190306
From the Islands (kompa pasión),Jason Derulo,2024-05-10,"dance pop, pop","From the Islands (kompa pasión), kompa pasión, kompa pasión - sped up, kompa pasión - slowed",66,From the Islands (kompa pasión),single,168871
Spicy Margarita,Jason Derulo,2024-02-16,"dance pop, pop","Nu King, Spicy Margarita, Mad Love, U + I, Lie To Me, Favorite Song, POV, Last Night, Take You Dancing, Don't Go Nowhere, Proximity, Limbo, Jalebi Baby, Comatose, Slow Low, Swalla (feat. Nicki Minaj & Ty Dolla $ign), Tip Toe (feat. French Montana), Lifestyle (feat. Adam Levine), When Love Sucks (feat. Dido), Save The Last Dance",66,Nu King,album,154376
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Jason Derulo,2022-02-10,"dance pop, pop","MUJER, Marte, R.I.P. (feat. Rita Ora & Anitta), GALLINA, Échalo Pa' Ca, Pregunta Loca, Casualidad, La Bachata, IDIOTA, 1, 2, 3 (feat. Jason Derulo & De La Ghetto), Amigos, 24/7, Cuando Estás Tú, A Tu Manera [CORBATA], Limones, Mal de Amores, Palo Santo",62,Mal De Amores,album,201526
Faded,Alan Walker,2018-12-14,electro house,"Intro, Lost Control, I Don't Wanna Go, Lily, Lonely (feat. ISÁK & Omar Noir), Do It All for You, Different World (feat. CORSAK), Interlude, Sing Me to Sleep, All Falls Down (feat. Juliander), Darkside, Alone, Diamond Heart, Faded (Interlude), Faded",80,Different World,album,212106
On My Way,Alan Walker,2021-11-26,electro house,"Time - Alan Walker Remix, Man On The Moon, Alone, Pt. II, Paradise, Out Of Love, Red Nexus Rising - Interlude, Sorry, Fake A Smile, On My Way, World We Used To Know, Drone Wars - Instrumental, Heading Home, OK, Hummell Gets The Rockets - Alan Walker Remix, Not You",73,World Of Walker,album,193959
"Alone, Pt. II",Alan Walker,2021-11-26,electro house,"Time - Alan Walker Remix, Man On The Moon, Alone, Pt. II, Paradise, Out Of Love, Red Nexus Rising - Interlude, Sorry, Fake A Smile, On My Way, World We Used To Know, Drone Wars - Instrumental, Heading Home, OK, Hummell Gets The Rockets - Alan Walker Remix, Not You",73,World Of Walker,album,179052
Alone,Alan Walker,2018-12-14,electro house,"Intro, Lost Control, I Don't Wanna Go, Lily, Lonely (feat. ISÁK & Omar Noir), Do It All for You, Different World (feat. CORSAK), Interlude, Sing Me to Sleep, All Falls Down (feat. Juliander), Darkside, Alone, Diamond Heart, Faded (Interlude), Faded",74,Different World,album,160426
"Better Off (Alone, Pt. III)",Alan Walker,2023-11-10,electro house,"Welcome to Walkerworld, Heart over Mind, Hero, Spectre 2.0, Better Off (Alone, Pt. III), Endless Summer, Born to Ride, Yesterday, Land Of The Heroes, Darkride",72,Walkerworld,album,151702
Issues - Alan Walker Remix,Alan Walker,2017-05-05,electro house,Issues - Alan Walker Remix,58,Issues (Alan Walker Remix),single,181000
Darkside,Alan Walker,2018-12-14,electro house,"Intro, Lost Control, I Don't Wanna Go, Lily, Lonely (feat. ISÁK & Omar Noir), Do It All for You, Different World (feat. CORSAK), Interlude, Sing Me to Sleep, All Falls Down (feat. Juliander), Darkside, Alone, Diamond Heart, Faded (Interlude), Faded",71,Different World,album,211680
Barcelona,Alan Walker,2024-06-13,electro house,Barcelona,72,Barcelona,single,205086
Headlights (feat. KIDDO),Alan Walker,2022-02-18,electro house,Headlights (feat. KIDDO),70,Headlights (feat. KIDDO),single,158400
The Spectre,Alan Walker,2017-09-15,electro house,The Spectre,71,The Spectre,single,193787
I Don't Wanna Wait,David Guetta,2024-04-05,"big room, dance pop, edm, pop, pop dance","I Don't Wanna Wait, I Don't Wanna Wait - Extended",90,I Don't Wanna Wait,single,149667
I'm Good (Blue),David Guetta,2022-08-26,"big room, dance pop, edm, pop, pop dance","I'm Good (Blue), I'm Good (Blue) - Extended",88,I'm Good (Blue),single,175238
Baby Don't Hurt Me,David Guetta,2023-04-06,"big room, dance pop, edm, pop, pop dance","Baby Don't Hurt Me, Baby Don't Hurt Me - Extended",85,Baby Don't Hurt Me,single,140017
Titanium (feat. Sia),David Guetta,2012-12-07,"big room, dance pop, edm, pop, pop dance","Titanium (feat. Sia), Turn Me On (feat. Nicki Minaj), She Wolf (Falling to Pieces) [feat. Sia], Without You (feat. Usher), I Can Only Imagine (feat. Chris Brown & Lil Wayne), Play Hard (feat. Ne-Yo & Akon), Wild One Two (feat. David Guetta, Nicky Romero & Sia) - Compilation Edit, Just One Last Time (feat. Taped Rai), In My Head (feat. Nervo), Where Them Girls At (feat. Nicki Minaj & Flo Rida), Little Bad Girl (feat. Taio Cruz & Ludacris), Sweat (Snoop Dogg vs. David Guetta) - David Guetta Remix, Crank It Up (feat. Akon), Nothing Really Matters (feat. will.i.am), I Just Wanna F. (feat. Timbaland & Dev), Night of Your Life (feat. Jennifer Hudson), Repeat (feat. Jessie J), Every Chance We Get We Run (feat. Tegan & Sara), Sunshine, Lunar",79,Nothing but the Beat (Ultimate Edition),album,245040
When We Were Young (The Logical Song),David Guetta,2023-11-10,"big room, dance pop, edm, pop, pop dance","When We Were Young (The Logical Song), When We Were Young (The Logical Song) - Extended",82,When We Were Young (The Logical Song),single,147432
Memories (feat. Kid Cudi),David Guetta,2010-11-22,"big room, dance pop, edm, pop, pop dance","When Love Takes Over (feat. Kelly Rowland), Gettin' Over (feat. Chris Willis & Fergie), Sexy Bitch (feat. Akon), Memories (feat. Kid Cudi), On the Dancefloor (feat. will.i.am & apl.de.ap), It's the Way You Love Me (feat. Kelly Rowland), Missing You (feat. Novel), Choose (feat. Ne-Yo & Kelly Rowland), How Soon Is Now - Dirty South Remix, I Gotta Feeling - FMIF Remix; Edit, One Love (feat. Estelle), I Wanna Go Crazy (feat. will.i.am), Sound of Letting Go (feat. Chris Willis), Toyfriend (feat. Wynter Gordon), If We Ever (feat. Makeba Riddick), Who's That Chick? (feat. Rihanna), Gettin' Over You (feat. Fergie & LMFAO), Revolver (feat. Lil Wayne) - Madonna vs. David Guetta One Love Remix, Commander (feat. David Guetta) - Radio Edit, Acapella",78,One More Love,album,210093
Sexy Bitch (feat. Akon),David Guetta,2010-11-22,"big room, dance pop, edm, pop, pop dance","When Love Takes Over (feat. Kelly Rowland), Gettin' Over (feat. Chris Willis & Fergie), Sexy Bitch (feat. Akon), Memories (feat. Kid Cudi), On the Dancefloor (feat. will.i.am & apl.de.ap), It's the Way You Love Me (feat. Kelly Rowland), Missing You (feat. Novel), Choose (feat. Ne-Yo & Kelly Rowland), How Soon Is Now - Dirty South Remix, I Gotta Feeling - FMIF Remix; Edit, One Love (feat. Estelle), I Wanna Go Crazy (feat. will.i.am), Sound of Letting Go (feat. Chris Willis), Toyfriend (feat. Wynter Gordon), If We Ever (feat. Makeba Riddick), Who's That Chick? (feat. Rihanna), Gettin' Over You (feat. Fergie & LMFAO), Revolver (feat. Lil Wayne) - Madonna vs. David Guetta One Love Remix, Commander (feat. David Guetta) - Radio Edit, Acapella",77,One More Love,album,195853
Be My Lover (feat. La Bouche) - 2023 Mix,David Guetta,2023-04-21,"big room, dance pop, edm, pop, pop dance",Be My Lover (feat. La Bouche) - 2023 Mix,80,Be My Lover (feat. La Bouche) [2023 Mix],single,169523
Love Tonight (David Guetta Remix Edit),David Guetta,2021-06-11,"big room, dance pop, edm, pop, pop dance","Love Tonight (David Guetta Remix Edit), Love Tonight (David Guetta Remix), Love Tonight (Edit)",76,Love Tonight (David Guetta Remix),single,158095
Man In Finance (with David Guetta),David Guetta,2024-06-07,"big room, dance pop, edm, pop, pop dance",Man In Finance (with David Guetta),76,Man In Finance (with David Guetta),single,113595
MAMIII,Becky G,2022-05-13,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino","BUEN DIA, FULANITO, TAJIN, FLASHBACK (feat. ELENA ROSE), BAILÉ CON MI EX, DOLORES, UNA MAS, BORRACHA, KILL BILL, QUE LE MUERDA, GUAPA, RAM PAM PAM, NO MIENTEN, MAMIII",79,ESQUEMAS,album,226093
Joorvajoor,Anita,2020-01-30,persian pop,Joorvajoor,28,Joorvajoor,single,181159
Pehla Pyaar,Armaan Malik,2019-06-14,"filmi, modern bollywood","Bekhayali, Kaise Hua, Tujhe Kitna Chahne Lage, Mere Sohneya, Tera Ban Jaunga, Yeh Aaina, Pehla Pyaar, Bekhayali (Arijit Singh Version), Tujhe Kitna Chahein Aur (Film Version)",71,Kabir Singh,compilation,272532
"Chale Aana (From ""De De Pyaar De"")",Armaan Malik,2019-05-02,"filmi, modern bollywood","Chale Aana (From ""De De Pyaar De"")",67,"Chale Aana (From ""De De Pyaar De"")",single,271023
Main Rahoon Ya Na Rahoon,Armaan Malik,2015-11-24,"filmi, modern bollywood",Main Rahoon Ya Na Rahoon,69,Main Rahoon Ya Na Rahoon,single,309457
Bol Do Na Zara,Armaan Malik,2017-07-20,"filmi, modern bollywood","Main Rahoon Ya Na Rahoon, Bol Do Na Zara, Kaun Tujhe &amp; Kuch Toh Hai Mashup, Jab Tak, Wajah Tum Ho, Sab Tera, Dil Mein Chhupa Loonga, Main Hoon Hero Tera (Armaan Malik Version), Mujhko Barsaat Bana Lo, Tum Jo Mile, Main Agar Kahoon-Bol Do Na Zara, Dil Ke Paas (Unplugged), Pyaar Manga Hai, Tumhe Apna Banane Ka, O Saathiya",64,Bollywood Romantic Songs With Armaan Malik,compilation,292826
Jab Tak,Armaan Malik,2017-07-20,"filmi, modern bollywood","Main Rahoon Ya Na Rahoon, Bol Do Na Zara, Kaun Tujhe &amp; Kuch Toh Hai Mashup, Jab Tak, Wajah Tum Ho, Sab Tera, Dil Mein Chhupa Loonga, Main Hoon Hero Tera (Armaan Malik Version), Mujhko Barsaat Bana Lo, Tum Jo Mile, Main Agar Kahoon-Bol Do Na Zara, Dil Ke Paas (Unplugged), Pyaar Manga Hai, Tumhe Apna Banane Ka, O Saathiya",62,Bollywood Romantic Songs With Armaan Malik,compilation,174039
Kaun Tujhe (Armaan Malik Version),Armaan Malik,2017-01-11,"filmi, modern bollywood",Kaun Tujhe (Armaan Malik Version),65,Kaun Tujhe (Armaan Malik Version),single,160485
"Dil Mein Ho Tum (From ""Cheat India"")",Armaan Malik,2018-12-26,"filmi, modern bollywood","Dil Mein Ho Tum (From ""Cheat India"")",63,"Dil Mein Ho Tum (From ""Cheat India"")",single,326765
Besabriyaan,Armaan Malik,2016-09-17,"filmi, modern bollywood","Besabriyaan, Kaun Tujhe, Jab Tak, Phir Kabhi, Parwah Nahin, Jab Tak (Redux), Padhoge Likhoge",63,M.S.Dhoni - The Untold Story,album,255738
Sau Aasmaan,Armaan Malik,2016-08-04,"filmi, modern bollywood","Kho Gaye Hum Kahan, Sau Aasmaan, Dariya, Nachde Ne Saare, Teri Khair Mangdi, Kala Chashma",63,Baar Baar Dekho (Original Motion Picture Soundtrack),single,234737
Buddhu Sa Mann,Armaan Malik,2016-03-04,"filmi, modern bollywood","Kar Gayi Chull, Bolna, Buddhu Sa Mann, Saathi Rey, Let's Nacho",63,Kapoor & Sons (Since 1921) (Original Motion Picture Soundtrack),single,206858
"Naina (From ""Crew"")",Badshah,2024-03-05,"desi hip hop, desi trap, filmi, modern bollywood","Naina (From ""Crew"")",80,"Naina (From ""Crew"")",single,180000
Soulmate,Badshah,2024-03-18,"desi hip hop, desi trap, filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",80,Ek Tha Raja,album,213599
Jagga Jatt,Badshah,2024-06-05,"desi hip hop, desi trap, filmi, modern bollywood","O.L.G.R, Urvashi, Laadla, House Of Lies, Sharbat E Mohabbat, Who’s That Girl, Bhari Mehfil, Rest In Paradise, Cigarette, Jagga Jatt, Om",72,Only Love Gets Reply,album,225099
God Damn,Badshah,2024-03-18,"desi hip hop, desi trap, filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",74,Ek Tha Raja,album,167234
Daaku,Badshah,2024-03-18,"desi hip hop, desi trap, filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",61,Ek Tha Raja,album,160990
Players,Badshah,2023-02-07,"desi hip hop, desi trap, filmi, modern bollywood","Players, Sanak, Fast Cars, Bas Ke Bahar, Khair, Ichiban, Too Many Hearts",67,3:00 AM Sessions,album,171272
Proper Patola,Badshah,2018-10-03,"desi hip hop, desi trap, filmi, modern bollywood","Tere Liye, Bhare Bazaar, Dhoom Dhadakka, Tu Meri Main Tera (feat. Shadab Faridi & Altamash Faridi), Kya Kahoon Jaaneman, Ziddi Hai Dil, Proper Patola",69,Namaste England (Original Motion Picture Soundtrack),album,178604
O’Sajna,Badshah,2024-03-18,"desi hip hop, desi trap, filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",68,Ek Tha Raja,album,208163
Kar Gayi Chull,Badshah,2017-12-15,"desi hip hop, desi trap, filmi, modern bollywood","Mercy, The Humma Song, Dj Waley Babu (feat. Aastha Gill), Kar Gayi Chull, Let's Nacho, Proper Patola (feat. Badshah), Saturday Saturday, The Breakup Song, Baaki Baatein Peene Baad (Shots) (feat. Badshah), Vroom Vroom (feat. Badshah), Take Your Sandals Off (feat. Badshah), Garrari Pitbull Te (feat. Badshah), I Wanna Be Free (feat. Major Lazer), Let It Go (feat. Andrea Jeremiah) - Romantic, Gym (feat. Badshah)",63,The Badshah of Party Hits,compilation,187710
"Sajna, Say Yes To The Dress",Badshah,2023-01-20,"desi hip hop, desi trap, filmi, modern bollywood","Sajna, Say Yes To The Dress",66,"Sajna, Say Yes To The Dress",single,158055
"Sajni (From ""Laapataa Ladies"")",Arijit Singh,2024-02-12,"filmi, modern bollywood","Sajni (From ""Laapataa Ladies"")",83,"Sajni (From ""Laapataa Ladies"")",single,170044
"Satranga (From ""ANIMAL"")",Arijit Singh,2023-10-27,"filmi, modern bollywood","Satranga (From ""ANIMAL"")",80,"Satranga (From ""ANIMAL"")",single,271169
Soulmate,Arijit Singh,2024-03-18,"filmi, modern bollywood","God Damn, O’Sajna, Like A Snake, Bajenge, Hola At Your Boy, Surma, Red And Blue, Drinks On Me, Soulmate, Body On Me, AMG, Naraaz, Kalashnikova, Alag Hai, Daaku, G-Yaan",80,Ek Tha Raja,album,213599
Chaleya,Arijit Singh,2023-09-05,"filmi, modern bollywood","Zinda Banda, Chaleya, Not Ramaiya Vastavaiya, Aararaari Raaro, Jawan Title Track, Faraatta, Chaleya Arabic Version",74,Jawan,album,200373
O Maahi,Arijit Singh,2023-12-20,"filmi, modern bollywood","Lutt Putt Gaya, Nikle The Kabhi Hum Ghar Se, O Maahi, Chal Ve Watna, Banda, Main Tera Rasta Dekhunga, Main Tera Rasta Dekhunga (Film Version), Waheguru",73,Dunki,album,233453
Heeriye (feat. Arijit Singh),Arijit Singh,2023-07-25,"filmi, modern bollywood",Heeriye (feat. Arijit Singh),78,Heeriye (feat. Arijit Singh),single,194857
Apna Bana Le,Arijit Singh,2022-12-06,"filmi, modern bollywood","Thumkeshwari, Apna Bana Le, Jungle Mein Kaand, Baaki Sab Theek, Apna Bana Le by Sakshi Holkar",71,Bhediya (Original Motion Picture Soundtrack),single,261702
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Arijit Singh,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",66,Rocky Aur Rani Kii Prem Kahaani,album,246988
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Arijit Singh,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",65,Rocky Aur Rani Kii Prem Kahaani,album,277500
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,2019-05-31,"filmi, modern bollywood","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",74,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",single,284779
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Shreya Ghoshal,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",66,Rocky Aur Rani Kii Prem Kahaani,album,246988
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Shreya Ghoshal,2024-05-15,"filmi, modern bollywood","Tum Kya Mile - Pritam' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani""), Dhindhora Baje Re (From ""Rocky Aur Rani Kii Prem Kahaani""), Ro Lain De (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (From ""Rocky Aur Rani Kii Prem Kahaani""), Heart Throb (From ""Rocky Aur Rani Kii Prem Kahaani""), Saregama Carvaan Medley (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Sufi Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Tum Kya Mile - Shreya' s Version (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi (Film Version) (From ""Rocky Aur Rani Kii Prem Kahaani""), Ve Kamleya (Redux) (From ""Rocky Aur Rani Kii Prem Kahaani""), Rani' s Intro Theme (From ""Rocky Aur Rani Kii Prem Kahaani""), Kudmayi - Female Version (From ""Rocky Aur Rani Kii Prem Kahaani"")",65,Rocky Aur Rani Kii Prem Kahaani,album,277500
Pal,Shreya Ghoshal,2018-09-21,"filmi, modern bollywood","Tum Se, Pal, Mera Pyar Tera Pyar, Mujhme, Tera Mera Rishta, Pal - Female, Tera Mera Rishta - Male, Pehle Ke Jaisa, Tum Se Adlib, Tum Se Adlib - Female",63,Jalebi (Original Motion Picture Soundtrack),album,247286
"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",Shreya Ghoshal,2024-05-29,"filmi, modern bollywood","Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",73,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",single,260262
Saibo,Shreya Ghoshal,2011-03-28,"filmi, modern bollywood","Saibo, Karma Is a Bitch, Shor, Deem Deem Tana, Saibo - The DJ Suketu Remix, Teri Justajoo - Saaware, Ujale Baaz, Bam Lahiri",71,Shor in the City (Original Motion Picture Soundtrack),album,195253
Yimmy Yimmy,Shreya Ghoshal,2024-03-08,"filmi, modern bollywood",Yimmy Yimmy,71,Yimmy Yimmy,single,211869
Samjhawan,Shreya Ghoshal,2014-06-19,"filmi, modern bollywood",Samjhawan,66,Samjhawan,single,269184
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,2024-05-29,"filmi, modern bollywood","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",70,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",single,260177
Zihaal e Miskin,Shreya Ghoshal,2023-05-25,"filmi, modern bollywood",Zihaal e Miskin,68,Zihaal e Miskin,single,243953
Main Agar Kahoon,Shreya Ghoshal,2017-07-31,"filmi, modern bollywood","Hans Mat Pagli, Tere Bin, Gulabi Retro Mix, Gori Tu Latth Maar, Deewana Tera, Main Agar Kahoon, Meri Duniya Hai, Salaam-E-Ishq, Ab Mujhe Raat Din, Dard",61,Soulful Sonu Nigam Specials,compilation,308158
Bhari Mehfil,Sunidhi Chauhan,2024-06-05,"filmi, modern bollywood","O.L.G.R, Urvashi, Laadla, House Of Lies, Sharbat E Mohabbat, Who’s That Girl, Bhari Mehfil, Rest In Paradise, Cigarette, Jagga Jatt, Om",68,Only Love Gets Reply,album,238126
"Halka Halka (From ""Fanney Khan"")",Sunidhi Chauhan,2018-07-14,"filmi, modern bollywood","Halka Halka (From ""Fanney Khan"")",65,"Halka Halka (From ""Fanney Khan"")",single,247381
Surili Akhiyon Wale - Duet,Sunidhi Chauhan,2009-01-22,"filmi, modern bollywood","Taali, Surili Akhiyon Wale, Salaam Aaya, Meherbaniyan, Kanha - Thumri, Taali - Solo, Surili Akhiyon Wale - Duet, Spirit Of Veer - Instrumental",42,Veer (Original Motion Picture Soundtrack),album,332120
Sheila Ki Jawani,Sunidhi Chauhan,2010-11-15,"filmi, modern bollywood","Tees Maar Khan, Sheila Ki Jawani, Wallah Re Wallah, Badey Dil Wala, Happy Ending, Tees Maar Khan (Remix By Kiran Kamath), Sheila Ki Jawani (Remix By Dj A-Myth), Wallah Re Wallah (Remix By Kiran Kamath), Badey Dil Wala (Remix By Kiran Kamath)",65,Tees Maar Khan,album,281707
Dilliwaali Girlfriend,Sunidhi Chauhan,2013-03-30,"filmi, modern bollywood","Badtameez Dil, Balam Pichkari, Ilahi, Kabira, Dilliwaali Girlfriend, Subhanallah, Ghagra, Kabira (Encore), Ilahi (Reprise)",63,Yeh Jawaani Hai Deewani,album,260552
